key	text	tooltip
#Loc;1;text/sr_missing_locs.loc		
building_effect_context_expressions_display_text_RegionIsMinorEmpireFort	PLACEHOLDER	false
building_effect_context_expressions_display_text_RegionIsMinorKislevFort	PLACEHOLDER	false
building_effect_context_expressions_display_text_RegionIsMinorVampireFort	PLACEHOLDER	false
building_effect_context_expressions_display_text_RegionIsMinorBretonniaFort	PLACEHOLDER	false
building_culture_variants_name_sr_teb_major_0wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_teb_major_1wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_teb_major_2wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_teb_major_3wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_teb_major_4wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_teb_major_5wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_teb_minor_0wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_teb_minor_1wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_teb_minor_2wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_teb_minor_3wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_arkhan_tower_settlement_dummy_0wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_arkhan_tower_settlement_dummy_1wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_arkhan_tower_settlement_dummy_2wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_arkhan_tower_settlement_dummy_3wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_arkhan_tower_settlement_dummy_4wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_arkhan_tower_settlement_dummy_5wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_hag_graef_settlement_dummy_0wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_hag_graef_settlement_dummy_1wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_hag_graef_settlement_dummy_2wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_hag_graef_settlement_dummy_3wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_hag_graef_settlement_dummy_4wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_hag_graef_settlement_dummy_5wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_blacklight_tower_settlement_dummy_0wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_blacklight_tower_settlement_dummy_1wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_blacklight_tower_settlement_dummy_2wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_blacklight_tower_settlement_dummy_3wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_blacklight_tower_settlement_dummy_4wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_blacklight_tower_settlement_dummy_5wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_frozen_city_settlement_dummy_0wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_frozen_city_settlement_dummy_1wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_frozen_city_settlement_dummy_2wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_frozen_city_settlement_dummy_3wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_frozen_city_settlement_dummy_4wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_frozen_city_settlement_dummy_5wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
building_culture_variants_name_sr_quintex_settlement_dummy_0wh2_dlc09_rogue_black_creek_raiders	PLACEHOLDER	false
